,road_code,road,road_slice,road_type,district
39,"4Н57""в""",4Р160 автойўли (65км)-Қизилчали бўлимига-Манғитарна сув омборига,0-7,Маҳаллий,Амударё тумани
40,4Н59,"Хитой пахта пункти-СТФ-""Ўзбекистон"" ДФХ-Жумуртов ш.",0-6,Маҳаллий,Амударё тумани
41,4Н60,Манғит ш.-А. Темур ДФХ,0-7,Маҳаллий,Амударё тумани
42,4Н61,Қипчақ ДФХ-Хужакул СТФ,0-11,Маҳаллий,Амударё тумани
43,4Н62,Дўстлик ДФХ-Шийиқ қала-Уйчи овули,0-10,Маҳаллий,Амударё тумани
44,4Н72,Туркманистон ДФХ-Туркманистон Республикаси чегарасигача,0-9,Маҳаллий,Амударё тумани
45,4Н75,Қиличбой ДФХ,0-5,Маҳаллий,Амударё тумани
46,4Н95,А380 автойўли-Қоратоғ пристани,0-9,Маҳаллий,Амударё тумани
47,4Н96,4Р181 автойўли (8км)-Тўлқин ДФХ-Оқолтин ДФХ-Зарбдор ДФХ-Жумуртоғ овули,0-23,Маҳаллий,Амударё тумани
48,4Н124,"""Урганч-Манғит"" автойўли-Қиличбой ДФХ",0-10,Маҳаллий,Амударё тумани
49,4Н125,Охунбобоев д/х-Ваккумқала овули,0-9,Маҳаллий,Амударё тумани
50,А-380,"""Ғузор -Бухоро- Нукус - Бейнеу"" ",619-679,Халқаро,Беруний тумани
51,4р-161,Урганч ш. - Чолиш к.- Беруний ш.,13-35,Давлат,Беруний тумани
52,4р-171 а,А-380 автойўлидан Беруний шахрига ,0-9,Давлат,Беруний тумани
53,А-380,"""Ғузор -Бухоро- Нукус - Бейнеу"" ",619-679,Халқаро,Беруний тумани
54,4р-161,Урганч ш. - Чолиш к.- Беруний ш.,13-35,Давлат,Беруний тумани
55,"4р-171""А""",А-380 автойўлидан Беруний шахрига ,0-9,Давлат,Беруний тумани
56,4К24,А380 автойўли (649 км)-Қаландархана овули,0-11,Маҳаллий,Беруний тумани
57,4К25,А380 автойўли (636 км)-Кўккўз пристани-Бешмерган овули,0-15,Маҳаллий,Беруний тумани
58,"4К25""а""",Бийбозор овулига,0-20,Маҳаллий,Беруний тумани
59,4К26,А380 автойўли (638 км)-Азот ДФХ-Қизилқала овули,0-23,Маҳаллий,Беруний тумани
60,4К27,Беруни ш.-Оқшақол бўрдоқчилик базаси,0-26,Маҳаллий,Беруний тумани
61,4К28,Беруни ш.-Навойи ДФХ-Махтумқули ДФХ,0-17,Маҳаллий,Беруний тумани
62,"4К32""б""",А380 автойўли (623 км)-Шаббоз ДФХга,0-10,Маҳаллий,Беруний тумани
63,4К47,4Р161 автойўли (25 км)-Беруний овули аэропорти,0-4,Маҳаллий,Беруний тумани
64,4Н10,Беруний ДФХ-Бийбозор ДФХ-Толлуқ овули,0-16,Маҳаллий,Беруний тумани
65,4Н11,А380 автойўли (651 км)-Олтинсой ДФХ-Абай ДФХ,0-8,Маҳаллий,Беруний тумани
66,4Н12,А380 автойўли (623 км)-Шаббоз ДФХ-Навоий ДФХ-Оқшақол кўли,0-27,Маҳаллий,Беруний тумани
67,4Н14,А380 автойўли (620 км)-Жуманиёзов ДФХ,0-11,Маҳаллий,Беруний тумани
68,"4Н15""а""",А380 автойўли (633 км)-Қиётобод ДФХга,0-5,Маҳаллий,Беруний тумани
69,4Н25,Беруний ДФХ-Олтинсой ДФХ,0-6,Маҳаллий,Беруний тумани
70,4Н63,А380 автойўли-Абай д/х.,0-4,Маҳаллий,Беруний тумани
71,4Н64, Ёмонсой даҳаси-Олтинсой ДФХ,0-16,Маҳаллий,Беруний тумани
72,4Н65, Улуғбек д\х маркази,0-10,Маҳаллий,Беруний тумани
73,4Н66, Озот ДФХ-Қизилқала овули-Қорақошли бўрдоқичилик комплекси,0-6,Маҳаллий,Беруний тумани
74,4Н67,81 км аҳоли пункти-Ёмонсой насос ст-Олтинсой овули,0-15,Маҳаллий,Беруний тумани
75,4Н97,А380 автойўл (116км)-Олтинсой ДФХ-Таллиқ овули,0-16,Маҳаллий,Беруний тумани
76,4Н98,А380 автойўли-Қизилқала овули,0-13,Маҳаллий,Беруний тумани
77,4Н99,4Р161 автойўли-Амўдарё пристини,0-2,Маҳаллий,Беруний тумани
78,4Н100,А380 автойўли-Беруний аэропорти,0-3,Маҳаллий,Беруний тумани
79,"4Н105""а""",А380 автойўли (678км)-Тош майдалагич ускуналари,0-2,Маҳаллий,Беруний тумани
80,4Р-175,Нукус ш.-Оқмангит ш.-Кегейли ш.-Чимбой ш.-Қозоқдарё овули,32-55,Давлат,Кегайли тумани
81,4р-176,Нукус ш.-Чимбой ш.-Тахтакўпир ш. ,22-47,Давлат,Кегайли тумани
82,4р-178,Қумшунгул темир йўл станцияси-Аспантой қ.,0-60,Давлат,Кегайли тумани
83,4р-179,Қораўзак овули-Қумшунгул темир йўл станцияси,27-49,Давлат,Кегайли тумани
84,"4К3""г""",Халқобад айланма йўли,0-7,Маҳаллий,Кегайли тумани
85,4К34б,4Р176 автойўли (31 км)-Қувонишжарма ДФХга,0-17,Маҳаллий,Кегайли тумани
86,4К34в,4Р176 автойўли (30 км)-Дўстлик бўлими-Кегайли сув тақсимлагичига ,0-11,Маҳаллий,Кегайли тумани
87,4К52,4Р178 автойўли (32 км)-Қозанкеткен овули-Кўкчиёл ДФх,0-35,Маҳаллий,Кегайли тумани
88,4К53,4Р179 автойўли (46 км)-Қумшунгул темир йўл станцияси,0-6,Маҳаллий,Кегайли тумани
89,4К54,4К52 а/йўли (17 км)-Кокчиёл овули-КС-1,0-2,Маҳаллий,Кегайли тумани
90,"4Н19""б""",4Р176 автойўли (40км)-Дарвозақум ДФХга ,0-1,Маҳаллий,Кегайли тумани
91,"4Н19""з""",4Р176 автойўли (24км)-Халқобод ДФХга ,0-8,Маҳаллий,Кегайли тумани
92,"4Н21""а""",4Р178 автойўли (58км)-Қозанкетган овулига,0-2,Маҳаллий,Кегайли тумани
93,"4Н21""б""",4Р178 автойўли (48км)-Тўрткўл ДФХга,0-8,Маҳаллий,Кегайли тумани
94,"4Н21""в""",4Р178 автойўли (9км)-Кучат етиштириш ДФХга,0-1,Маҳаллий,Кегайли тумани
95,"4Н21""г""",4Р178 автойўли (12км)-Жуманазаров ДФХга,0-16,Маҳаллий,Кегайли тумани
96,4Н35,4р179 автойўли-Каримбердиев ДФХ-Қувониш ёрма ДФХ,0-9,Маҳаллий,Кегайли тумани
97,4Н74,Бакир Каримбердиев бўлими,0-11,Маҳаллий,Кегайли тумани
98,4Н77,"""Нукус-Тахтакўпир"" автойўли (24км) -Бексик овули-Ёмон овули",0-7,Маҳаллий,Кегайли тумани
99,"4Н77""б""",Қозанкетган-Аспантой автойўли (24 км)-Порлитоғ овули,0-3,Маҳаллий,Кегайли тумани
100,4Н83,Қозонкеткан овули-Порлитоғ овули,0-24,Маҳаллий,Кегайли тумани
101,4Н84,Порлитоғ овули-Оспонтой ДФХ,0-16,Маҳаллий,Кегайли тумани
102,4Н85,Қозонкетгкан овули-КС-1-Шахаман овул,0-15,Маҳаллий,Кегайли тумани
103,4р-173, Қунғирот ш.-Муйноқ ш. ,37-98,Давлат,Мўйноқ тумани
104,4Н109,Муйнак шахри-Ушсай авули,0-15,Маҳаллий,Мўйноқ тумани
105,4Н86,"""Кунгирод-Муйнак"" а.автойулининг (77 км)-""Шеге"" авули-""Порлитог"" авули",0-24,Маҳаллий,Мўйноқ тумани
106,4Н110,Муйнак шахри-Орал денгизи пристанига,0-5,Маҳаллий,Мўйноқ тумани
107,4к2,4Р173 автойўли (26км) Қизилжар овулига,0-12,Маҳаллий,Мўйноқ тумани
108,4н1,4Р173 автойўли (36 км)-Дўстлик ДФХ,0-8,Маҳаллий,Мўйноқ тумани
109,4р-175,Нукус ш.-Оқмангит ш.-Кегейли ш.-Чимбой ш.-Қозоқдарё овули,  2-32,Давлат,Нукус тумани
110,4К18,"""Каттагар"" ДФУ-Крейтузяк сув тақсимланиш иншоатига",0-22,Маҳаллий,Нукус тумани
111,4Н9,"""Крантоғ-Шуртанбой"" а.йўлидан-""Кердер"" ДФХга",0-13,Маҳаллий,Нукус тумани
112,4Н19,"""Урнек"" ДФХга ",0-10,Маҳаллий,Нукус тумани
113,4Н47,"Нукус-Акмангит автойўлининг-""Токто\"" бўлимига-Каттагар -Акмангит ДФХга",0-11,Маҳаллий,Нукус тумани
114,4Н48,Каттагар ДФХ-Нукус ДФХ-Куксу бўлимига,0-4,Маҳаллий,Нукус тумани
115,4Н49,"""Акмангит"" авули -""Ободон"" бўлимига",0-15,Маҳаллий,Нукус тумани
116,4Н50 ,Кутанкул ДФХ маркази чуш=а фермасига,0-2,Маҳаллий,Нукус тумани
117,4Н51,"""Киронто\"" авули ""Актерек"" ДФХга ",0-4,Маҳаллий,Нукус тумани
118,4Н92,Нукус-Чимбой-Тахтакўпир а.йўлининг (18км)-Акмангит авулига,0-10,Маҳаллий,Нукус тумани
119,4Н111,4р175 а.йўлининг (22 км)-Крантоғ овулига,0-18,Маҳаллий,Нукус тумани
120,4р176,Нукус ш.-Чимбой ш.-Тахтакўпир ш. ,102-114,Давлат,Тахтакўпир тумани
121,"4К3""а""",Белтов тош кони,0-26,Маҳаллий,Тахтакўпир тумани
122,4Н2,Қўнғироткўл ДФХ-Белтов ДФХ,0-3,Маҳаллий,Тахтакўпир тумани
123,"4Н19""д""",Ўзбекистон ДФХга ,0-1,Маҳаллий,Тахтакўпир тумани
124,"4Н19""е""",Макпалкўл ДФХга ,0-8,Маҳаллий,Тахтакўпир тумани
125,"4Н19""ж""",Жонадарё ДФХ-Маржанкўл ДФХга ,0-13,Маҳаллий,Тахтакўпир тумани
126,4Н42,Даухара ДФХ-Боршетов ДФХ,0-15,Маҳаллий,Тахтакўпир тумани
127,4Н90,Мулк ДФХ-Қўнғирот ДФХ,0-11,Маҳаллий,Тахтакўпир тумани
128,4Н91,"""Балиқбой қудуғи-Мулк ДФХ"" автойўли (36км)-Коструба овули",0-13,Маҳаллий,Тахтакўпир тумани
129,4Н112,Тахтакўпир шаҳри-Мулк ДФХ,0-11,Маҳаллий,Тахтакўпир тумани
130,4Н113,Мулк ДФХ-Балиқбой ҳудуди,0-48,Маҳаллий,Тахтакўпир тумани
131,4Н123,Тахтакўпир ҳалқа йўли,0-6,Маҳаллий,Тахтакўпир тумани
132,А-380,"""Ғузор -Бухоро- Нукус - Бейнеу"" ",552-604,Халқаро,Тўрткўл тумани
133,4р-171 б,А-380 авт.йўлидан(602)-Тўрткўл шаҳрига,0-9,Давлат,Тўрткўл тумани
134,4р-182,А-380 автойўли--Қизилқалъа овули-Бустон ш.-Гулдурсун қ.-Тўрткўл ш.,53-66,Давлат,Тўрткўл тумани
135,4р-156 е,Мискин кишлогига шахобча,0-14,Давлат,Тўрткўл тумани
136,4К32г,А380 автойўли (589 км)-Шурахон нефть базасига,0-5,Маҳаллий,Тўрткўл тумани
137,4К49,Пахтаобод ДФХ-Наврўз ДФХ,0-30,Маҳаллий,Тўрткўл тумани
138,4К36,4Р182 автойўли-Тўрткўл аэропорти,0-1,Маҳаллий,Тўрткўл тумани
139,4К48,4Р182 автойўли (2 км)-Тўрткўл ш.-Улуғбек ДФХ,0-6,Маҳаллий,Тўрткўл тумани
140,4К50,Безерган пахта пункти-Баҳаристон қ.,0-7,Маҳаллий,Тўрткўл тумани
141,4Н4,А380 автойўли (570 км)-Оққамиш овули,0-8,Маҳаллий,Тўрткўл тумани
142,4Н5,Тўрткўл-ёмбошқалъа массиви-А. Дурдиев ДФХ,0-5,Маҳаллий,Тўрткўл тумани
143,"4Н15""д""",А380 автойўли (586км)-Ғалаба ДФХга,0-6,Маҳаллий,Тўрткўл тумани
144,"4Н15""е""",А380 автойўли (584км)-Шўрахон пахта пункти-Рашидов ДФХга,0-14,Маҳаллий,Тўрткўл тумани
145,"4Н15""з""",Адакаев давлат фермер хўжалиги уюшмасига,0-4,Маҳаллий,Тўрткўл тумани
146,"4Н15""и""",А380 автойўли (576км)-Пахтаарна сув тақсимлагичига,0-4,Маҳаллий,Тўрткўл тумани
147,"4Н28""а""",4Н102 автойўли (50км)-Курбонов ДФХга,0-7,Маҳаллий,Тўрткўл тумани
148,"4Н28""б""",4Н102 автойўли (37км)-Қумбосқан овули-Намуна ДФХга,0-13,Маҳаллий,Тўрткўл тумани
149,"4Н28""в""",4Н102 автойўли (24км)-Қизилқум ДФХга,0-17,Маҳаллий,Тўрткўл тумани
150,4Н31,А380 автойўли (596 км)-Тўрткўл ш.-Тўрткўл пристани-Рашидов ДФХга,0-10,Маҳаллий,Тўрткўл тумани
151,4Н32,Шурахон пахта пункти-Ўзбекистон ДФХ-Оқбошлиовули,0-6,Маҳаллий,Тўрткўл тумани
152,"4Н33""ж""",4Р182 автойўли (9км)-Намуна ДФХга,0-1,Маҳаллий,Тўрткўл тумани
153,4Н101,Тўрткўл шахри-Ш.Рашидов ДФХ,0-10,Маҳаллий,Тўрткўл тумани
154,4Н102,Тўрткўл шахри-Безберген пахта пункти-Ёмбошқала массиви-Қирққиз овули,0-70,Маҳаллий,Тўрткўл тумани
155,А-380,"""Ғузор -Бухоро- Нукус - Бейнеу"" ",774-814,Халқаро,Хўжайли тумани
156,А-381, Хужайли-Тошовуз (Ўзбекистон Республикаси худудида),0-12,Халқаро,Хўжайли тумани
157,4р-171 д,А-380 автойўлидан-Хужайли шаҳрига кириш,0-9,Давлат,Хўжайли тумани
158,4р-174,Нукус ш.-Хужайли ш., 5-14,Давлат,Хўжайли тумани
159,4К32е,А380 автойўли (806 км)-Энергетиклар дам олиш оромгоҳига,0-6,Маҳаллий,Хўжайли тумани
160,4К41,А380 автойўли (797 км)-Шамуратов ДФХ-Қумжиккон ДФХ,0-18,Маҳаллий,Хўжайли тумани
161,4К42,"4Р171""д"" автойўли (4 км)-Хўжайли ш.-Охунбобоев ДФХ-Шомуратов ДФХ",0-10,Маҳаллий,Хўжайли тумани
162,4К43,А381 автойўли (12 км)-Жамбул овули-Амударё ДФХга,0-29,Маҳаллий,Хўжайли тумани
163,"4Н15""б""",А380 автойўли (802 км)-Хатеп ДФХга,0-2,Маҳаллий,Хўжайли тумани
164,"4Н15""ж""",А380 автойўли (802 км)-Амударьё ДФХга,0-3,Маҳаллий,Хўжайли тумани
165,"4Н15""л""",А380 автойўли (815 км)-Хатеп бурдоқчилик мажмуасига,0-2,Маҳаллий,Хўжайли тумани
166,"4Н17""а""",4Р174 автойўли (8км)-Сувчилар қишлоғига ,0-2,Маҳаллий,Хўжайли тумани
167,"4Н17""б""",4Р174 автойўли (11км)-Ойбек ДФХга ,0-1,Маҳаллий,Хўжайли тумани
168,4Н54,А381 автойўли (2км)-дўстлик ДФХ-сут товар фермаси ,0-3,Маҳаллий,Хўжайли тумани
169,"4Н58""а""",Амударё корханаси-Бердах бўлимига,0-5,Маҳаллий,Хўжайли тумани
170,"4Н58""б""",Амударё корханаси-Хўжа  бўлимига,0-1,Маҳаллий,Хўжайли тумани
171,4Н117,А381 автойўли-Хўжайли шаҳри,0-3,Маҳаллий,Хўжайли тумани
172,"4Н119""а""",Хўжайли темир йўл вокзалига,0-2,Маҳаллий,Хўжайли тумани
173,4н129,"4Р171""д"" автойўли (6км)-Ўрто Осиё КС ",0-2,Маҳаллий,Хўжайли тумани
174,4р-171 г,А-380 йўлидан Тахиатош шаҳрига шақобча,0-12,Давлат,Тахиатош шаҳри
175,4К4,А380 автойўли-Тахиатош бройлер паррандачилик фабрикасига,0-15,Маҳаллий,Тахиатош шаҳри
176,4Н53,4К4 автойўли-Тахиатош ш.-Найманкўл ДФХ-Туркманистон Республикаси чегарасига,0-16,Маҳаллий,Тахиатош шаҳри
177,4Н55,"4Р171""г"" автойўли-Тахиоташ ш.-Хамза ДФХ маркази",0-6,Маҳаллий,Тахиатош шаҳри
178,4Н56,Тахиоташ ун комбинати-Ханябсув иншооти-4Н53 автойўли,0-10,Маҳаллий,Тахиатош шаҳри
179,4Н80,А381 автойўли-Озотлик ДФХ,0-12,Маҳаллий,Тахиатош шаҳри
180,4Р-175,Нукус ш.-Оқмангит ш.-Кегейли ш.-Чимбой ш.-Қозоқдарё овули,55-122,Давлат,Чимбой тумани
181,4р-175 а,4Р-176 автойўлига шахобча ,0-3,Давлат,Чимбой тумани
182,4р-176,Нукус ш.-Чимбой ш.-Тахтакўпир ш. ,47-84,Давлат,Чимбой тумани
183,"4К3""д""",Чимбой айланма йўли,0-8,Маҳаллий,Чимбой тумани
184,4К7,4р175 автойўли КС-1-Майжап ДФХ,0-10,Маҳаллий,Чимбой тумани
185,4К9,Чимбой ш.-Чимбой ДФХ-Манжули овули,0-19,Маҳаллий,Чимбой тумани
186,4Н3,"""Чимбой-Тахтакўпир"" автойўли (73 км)-У. ЮсуповДФХ",0-9,Маҳаллий,Чимбой тумани
187,"4Н18""а""",Бахтли ДФХга,0-6,Маҳаллий,Чимбой тумани
188,"4Н18""б""",Бўзатов ДФХга,0-7,Маҳаллий,Чимбой тумани
189,"4Н19""в""",4Р176 автойўли (60км)-К. Авезов ДФХга ,0-2,Маҳаллий,Чимбой тумани
190,4Н34,"4р175 автойўли-""Иссиқ булоқ"" сиҳатгоҳига",0-3,Маҳаллий,Чимбой тумани
191,4Н45,У. Юсупов ДФХ-Тоза йўл ДФХ,0-8,Маҳаллий,Чимбой тумани
192,4Н73,Чимбой ш.-Мойжоб д/х-КС-1-П. Сеитов ДФХ ,0-3,Маҳаллий,Чимбой тумани
193,4Н81,"""Кегайли-Чимбой"" автойўли-КС-1",0-31,Маҳаллий,Чимбой тумани
194,4Н82,"""Кегайли-Чимбой-КС-1"" автойўли-Қизилўзак ДФХ",0-9,Маҳаллий,Чимбой тумани
195,4Н85, Қозонкетгкан овули-КС-1-Шахаман овули,15-40,Маҳаллий,Чимбой тумани
196,4Н122,4Р175 автойўли (65км)-Чимбой темир йўл вокзали ,0-4,Маҳаллий,Чимбой тумани
197,А-380,"""Ғузор -Бухоро- Нукус - Бейнеу"" ",814-831,Халқаро,Шуманай тумани
198,4р-177,Қонликўл темир йўл станцияси -Шуманай ш.-Қорабайли темир йўл станцияси, 9-67,Давлат,Шуманай тумани
199,4К5,4р177 автойўли-Шуманай айланма йўли,0-3,Маҳаллий,Шуманай тумани
200,4К17,4Р177 автойўли (50км)-Шуманай ш.-М. Абдуллаев ДФХ-Ёнбекши ДФХ-4Р177 автойўли,0-35,Маҳаллий,Шуманай тумани
201,4К38,4К17 автойўли (27км)-Кўккўзов ДФХ-Бирлачик бўлимига-4К17 автойўлига,0-26,Маҳаллий,Шуманай тумани
202,"4Н20""а""",Ёнбекчи бўлими-4К17 автойўлига (11км),0-16,Маҳаллий,Шуманай тумани
203,"4Н20""б""",4Р177 автойўли (16км)-Дийханобод пахта пунктига,0-3,Маҳаллий,Шуманай тумани
204,"4Н20""в""",4Р177 автойўли (29км)-А. Мусаев ДФХ пахта пунктига, 0-1,Маҳаллий,Шуманай тумани
205,"4Н20""г""",4Р177 автойўли (44км)-Туркманистон Республикаси чегарасига,0-5,Маҳаллий,Шуманай тумани
206,"4Н20""д""",4Р177 автойўли (44км)-Шуманай пахта тозалаш заводига,0-2,Маҳаллий,Шуманай тумани
207,"4Н20""ж""",4Р177 автойўли (28км)-А. Мусаев ДФХга,0-10,Маҳаллий,Шуманай тумани
208,"4Н20""е""",4Р177 автойўли (5км)-Тошкент ДФХга,0-1,Маҳаллий,Шуманай тумани
209,4Н37,Дўстлик байроғи ДФХУ-Озот бўлими,0-14,Маҳаллий,Шуманай тумани
210,4Н38,"Кўккўзов ДФХ-""Қорақалпоғистон 40 йиллиги"" бўлими-Жолгас овули ",0-12,Маҳаллий,Шуманай тумани
211,4Н38а,Шуманой бўлимига,0-9,Маҳаллий,Шуманай тумани
212,4Н38б,"4Н20""а""-автойўли-Оқолтин бўлимига",0-6,Маҳаллий,Шуманай тумани
213,4Н39,4К17 автойўли (4км)-Шуманой ДФХ-СТФ,0-3,Маҳаллий,Шуманай тумани
214,4Н40,4К17 автойўли-Абдуллаев ДФХ-СТФ,0-2,Маҳаллий,Шуманай тумани
215,4Н41,Деҳқонобод ДФХ-Майлиўзак бўлими,0-23,Маҳаллий,Шуманай тумани
216,4Н76,4Р177 автойўли (23км)-Дўстлик байроғи ДФХ,0-4,Маҳаллий,Шуманай тумани
217,4Н88,4Р173 автойўли (61км)-Олтинкўл ДФХ-Бекёп насос ст.-Қорабайли темир йўл станцияси,39-47,Маҳаллий,Шуманай тумани
218,А-380,"""Ғузор -Бухоро- Нукус - Бейнеу"" ",604-619,Халқаро,Элликқалъа тумани
219,4р-161,Урганч ш. - Чолиш к.- Беруний ш.,35-44,Давлат,Элликқалъа тумани
220,4р-182,А-380 автойўли--Қизилқалъа овули-Бустон ш.-Гулдурсун қ.-Тўрткўл ш.,15-53,Давлат,Элликқалъа тумани
221,4р-182,А-380 автойўли--Қизилқалъа овули-Бустон ш.-Гулдурсун қ.-Тўрткўл ш.,0-15,Давлат,Элликқалъа тумани
222,4К32в,А380 автойўли (604 км)-Дўстлик ДФХга,0-5,Маҳаллий,Элликқалъа тумани
223,4К51,4Р182 автойўли (28 км)-Бурдоқчилик мажмуаси,0-7,Маҳаллий,Элликқалъа тумани
224,"4К51""а""",Қирққизобод ДФХга,0-16,Маҳаллий,Элликқалъа тумани
225,4Н6,А380 автойўли (606 км)-Одилов ДФХ,0-6,Маҳаллий,Элликқалъа тумани
226,4Н13,Қирққиз ДФХ-Бўстон ш.-Аёзқалъа овули,0-14,Маҳаллий,Элликқалъа тумани
227,"4Н15""в""",Қилчиноқ давлат фермер хўжалиги уюшмаси марказига,0-5,Маҳаллий,Элликқалъа тумани
228,"4Н15""г""",А380 автойўли (610км) Сарабий қишлоғиға,0-13,Маҳаллий,Элликқалъа тумани
229,"4Н27""а""",4Н116 автойўли (38км)-Буканмерей ДФХ,0-4,Маҳаллий,Элликқалъа тумани
230,"4Н27""б""",4Н116 автойўли (15км)-Қирққизобод ДФХ,0-5,Маҳаллий,Элликқалъа тумани
231,"4Н27""в""","4Н116 автойўли (14км)-""Ўзқишлоқхўжаликтехникаси"" бирлашмасига",0-3,Маҳаллий,Элликқалъа тумани
232,"4Н33""а""",Бўстон ДФХУ маркази (25км)-Охунбобоев бўлимига,0-5,Маҳаллий,Элликқалъа тумани
233,"4Н33""б""",Янгиер ДФХга,0-5,Маҳаллий,Элликқалъа тумани
234,"4Н33""в""",Боғёп ДФХу марказига,0-2,Маҳаллий,Элликқалъа тумани
235,"4Н33""г""",Боғёп СТФга, 0-1,Маҳаллий,Элликқалъа тумани
236,"4Н33""д""",Наримжонбобо зиёратгоҳига,0-4,Маҳаллий,Элликқалъа тумани
237,"4Н33""е""",Боғёп шифохонасига,0-2,Маҳаллий,Элликқалъа тумани
238,4Н46,4Н115 автойўли (10км)-Тоза Амиробод овулига,0-5,Маҳаллий,Элликқалъа тумани
239,4Н68," ""Тўрткўл-Бахористон"" автойўли (53 км)-Абай бўлими-Қириққиз д/х",0-7,Маҳаллий,Элликқалъа тумани
240,4Н69," ""Бўстон-Сароби"" автойўли (50км)-Амиробод СТФ",0-5,Маҳаллий,Элликқалъа тумани
241,4Н70,"""Нихол"" кўчат етиштириш ДФХУ",0-11,Маҳаллий,Элликқалъа тумани
